id-enccre,headword,text,coordinates,meridian,coordinates_txt,gpt_preds
v14-921-0,RIBERA-grande,"RIBERA-grande, (Géog. mod.)​ ville de l’île de San-Jago, la plus considérable de celles du cap Verd, dans la partie occidentale de l’île, à 3 lieues au nord-ouest de Praya, à l’embouchure de la riviere de San-Jago, qui prend sa source à 2 milles de la ville, entre deux montagnes. Son évêché, qui est suffragant de Lisbonne, compte toutes les îles du cap Verd dans son diocèse. La maison du gouverneur domine sur toute la ville, qui est presque entierement peuplée de portugais. Ce gouverneur étend sa jurisdiction non-seulement sur les îles du cap Verd, mais encore sur tous les domaines du Portugal qui sont dans la haute Guinée. Le port, qu’on nomme Sainte-Marie, est au nord de la ville, & les vaisseaux y sont en sûreté. Long. 354. lat. 15. (D. J.)​",[['15 N 354 E']],,15 N 354 E,15 N 354 E
v14-967-1,Rieux,"Rieux, (Géog. mod.)​ en latin moderne Rivi ; ville de France, dans le haut-Languedoc, sur la petite riviere de Rise, qui se jette un peu au-dessous dans la Garonne. La rencontre de plusieurs ruisseaux qui se joignent en cet endroit, lui a vraissemblablement donné le nom de Rieux. Elle n’a de remarquable que son évêché, érigé par le pape Jean XXII. en 1317 ; il fit un évêché d’un monastere, & le donna au cardinal de Rabastin, qui étoit auparavant évêque de Pamiez.


Cet évêché vaut aujourd’hui 25000 livres de rente, & son diocèse comprend 90 paroisses, 3 abbayes d’hommes, & une de filles. Ce diocèse de Rieux contient la partie de l’ancien pays de Volvestre, qui appartenoit au compte de Toulouse. Le chapitre de l’église cathédrale de Rieux est composé de quatre dignités & de douze canonicats. Cette ville est à 10 lieues au sud-ouest de Toulouse, & à 35 au couchant de Narbonne. Long. 18. 50. lat. 43. 15.


Il ne faut pas confondre Rieux sur la Rise, avec Rieux, petite ville, ou plutôt bourg de France dans le bas-Languedoc, au diocèse de Narbonne.


C’est Rieux dans le haut-Languedoc qui est la patrie de Baron (Vincent) dominicain : ce bon moine affligé du relâchement de la morale, composa plusieurs livres pour la rétablir, & entr’autres son ethica christiana, imprimée à Paris en 1666, 2. vol. in-8°.​ mais cette morale ne réussit pas à la cour de Rome ; malgré l’approbation du maître du sacré palais, qui fut déposé, & la congrégation de l’indice condamna l’ouvrage. Je le condamnerois aussi, parce qu’il est purement scholastique. Le F. Baron mourut à Paris en 1674, âgé de 70 ans. (D. J.)​","[[""43 15' N 18 50' E""]]",,43 15' N 18 50' E,43 15' N 18 50' E
v14-968-0,RIEZ,"RIEZ, (Géog. mod.)​ petite ville de France, en Provence, sur la petite riviere d’Auveste, dans une plaine, à 9 lieues au sud-est de Sisteron, à 18 au nord-ouest de Toulon, & à 11 au nord-ouest d’Aix. C’est une ville fort ancienne. Pline la nomme Albecia, & il prend Reii pour le nom d’un peuple, comme Vocontii, Saluvii, &c. Le nom Reii prévalut sur celui d’Albeci. Dans le vj. siecle, Reii fut corrompu en Reggii, comme on le voit dans Grégoire de Tours. Il se tint un concile à Riez, en 439, & le député de cette ville entre aux assemblées générales. Son territoire produit les meilleurs vins de Provence. Les évêques de Riez sont seigneurs temporels de la ville ; leur évêché est suffragant d’Aix, & vaut dix-huit à vingt mille livres de revenu. Longitude 23. 36. latitude 43. 51.


Abeille (Gaspard), né à Riez, vint jeune à Paris, & trouva le moyen de s’y faire connoître. Il embrassa l’état ecclésiastique, & le maréchal de Luxembourg le prit auprès de lui, pour secrétaire du gouvernement de Normandie. M. de Vendôme, & la duchesse de Bouillon (Marie-Anne Mancini) l’honorerent aussi de leur protection. Il fut reçu en 1704 à l’académie françoise. Il avoit donné 30 ans auparavant deux tragédies très-foibles, Argelie & Coriolan, qui furent imprimées.


L’abbé Abeille fit depuis d’autres tragédies, qui parurent sous le nom de la Thuillerie, comédien. On dit qu’une avanture désagréable, fut cause qu’il n’osa plus mettre son nom à ses ouvrages de théâtre. Une tragédie de lui, qu’on ne trouve point, commençoit par une scène entre deux princesses sœurs, dont l’une disoit à l’autre en entrant sur le théâtre :



Ma sœur, vous souvient-il du feu roi notre pere ?


La seconde actrice hésitant, & cherchant le premier mot de son rôle, un plaisant qui s’ennuyoit dans le parterre, répondit pour elle :



Ma foi, s’il m’en souvient, il ne m’en souvient guere.


Les éclats de rire suspendirent le commencement du spectacle ; & quand à diverses reprises, on tenta de commencer, la plaisanterie fut chaque fois répétée en chœur par-tout le parterre, & les comédiens furent obligés de donner une autre piece. C’est à cette avanture, vraie ou fausse, qu’un bel esprit de Provence fait allusion, dans une épitaphe qu’il fit à l’abbé Abeille, mort le 22 Mai 1718, dans un âge très avancé.



Ci gît cet auteur peu fêté,
Qui crut aller tout droit à l’immortalité :
Mais sa gloire & son corps n’ont qu’une même biere ;
Et lorsqu’Abeille on nommera,
Dame Postérité dira :
Ma foi, s’il m’en souvient, il ne m’en souvient guere.


Dans différens recueils de l’académie, on trouve diverses pieces fugitives de la main de l’abbé Abeille, & qui sont pour la plûpart des épitres morales. Celle qui roule sur l’amitié, est pleine de sentimens, qui font l’éloge du cœur du poëte. Il a fait une autre épitre sur la constance, où la justesse n’est pas ce qui y regne le plus, si l’on peut s’en rapporter à une épigramme satyrique de l’abbé de Chaulieu, laquelle ne se trouve point dans les éditions de ses œuvres.​



Est-ce Saint-Aulaire, ou Toureille,
Ou tous deux, qui vous ont appris
A confondre, mon cher Abeille,
Dans vos très-ennuyeux écrits,
Patience, vertu, constance ?
Apprenez cependant comme on parle à Paris :
Votre longue perséverance
A nous donner de méchans vers ;
C’est ce qu’on appelle constance ;
Et dans ceux qui les ont soufferts,
Cela s’appelle patience.


Œuvres de Despréaux 1747, t. V. (D. J.)​","[[""43 51' N 23 36' E""]]",,43 51' N 23 36' E,43 51' N 23 36' E
v14-973-0,RIGA,"RIGA, (Géogr. mod.)​ ville de l’empire russien, capitale de la Livonie, sur la rive septentrionale de la Dwina, à 2 lieues de son embouchure dans la mer Baltique, à 10 lieues de Mittau, & à 84 au sud-ouest de S. Petersbourg. Cette ville est grande, peuplée & fort commerçante. Le château sert de demeure au gouverneur ; outre cela plusieurs forts contribuent à sa défense.


Quelques marchands de Brème étant entrés dans la Dwina vers le milieu du xij. siecle, y firent commerce avec les habitans du pays, ce qui donna lieu à l’établissement de la religion chrétienne dans ce quartier. Le papes en étant instruits, y envoyerent des évêques qui environnerent la ville de murailles, & fonderent quelques évêchés en différentes parties de cette province. L’évêque Albert en fut nommé archevêque en 1215 par Inncocent III. vers l’an 1280 ; les chevaliers teutoniques qui s’étoient établis dans le pays, firent la guerre aux archevêques. D’un autre côté, les bourgeois de Riga s’étant enrichis par le trafic entrerent dans l’alliance des villes anséatiques, & se virent en état de tenir tête aux archevêques & aux chevaliers.


Par la révolution qui arriva dans la religion, le Luthérianisme s’introduisit dans cette ville avec de si grands progrès, que Sigismond, roi de Pologne, auquel les habitans se soumirent en 1561, se vit obligé d’accorder le libre exercice de la religion luthérienne dans le pays. Tous les ecclésiastiques ayant quitté la religion catholique, l’archevêché de Riga fut éteint en 1566, & les biens ecclésiastiques sécularisés. Etienne Batori ne rétablit la religion catholique que jusqu’au tems que Gustave-Adolphe s’empara de Riga en 1621. Enfin Pierre I. après les défaites de Charles XII. prit cette ville en 1710, & elle est restée depuis ce tems-là sous la domination des Russes. Long. 42. latit. 56. 50’. (D. J.)​","[[""56 50' N 42 E""]]",,56 50' N 42 E,56 50' N 42 E
v15-1004-0,SOLEURE,"SOLEURE, (Géog. mod.)​ en latin Salodurum, Solodurum, & en allemand Solothurn ; ville de Suisse, capitale du canton de même nom, sur la riviere d’Aare, à 12 lieues au midi de Bâle, à 10 au nord-est de Berne dans le Salgœu, c’est-à-dire dans le pays des anciens Saliens.


Cette ville est remarquable par son antiquité, par ses édifices, par sa force, & par sa grandeur pour le​pays. On y a trouvé des médailles, des inscriptions, & d’autres monumens qui justifient qu’elle étoit déja connue des Romains. Elle fut ruinée par les Huns, les Goths, les Vandales, qui ravagerent la Suisse tour-à-tour. L’église collégiale de S. Urse passe pour avoir été fondée par Berthrade, mere de Charlemagne. Les jésuites ont dans cette ville une belle maison, & les cordeliers un très-beau couvent, dont ils louent une partie aux ambassadeurs de France.


Soleure devint une ville impériale sous les empereurs d’Allemagne, & les ducs de Suabe en furent ensuite gouverneurs. Dans le quatorzieme siecle, ses habitans s’allierent avec Berne ; dans le siecle suivant, ils se joignirent aux cantons contre le duc de Bourgogne ; & après la guerre de 1481, ils furent reçus au nombre des cantons. Son gouvernement civil est à-peu-près le même qu’à Berne & à Fribourg, le pays étant divisé en bailliages, qui n’ont à la vérité dans leurs jurisdictions que des villages, excepté Olten, qui est une petite ville.


Quant au gouvernement spirituel, il est arrivé qu’en 1532 le parti catholique-romain prit le dessus, & depuis lors Soleure & son canton sont demeurés attachés à la religion romaine. Longit. 25. 6. latit. 47. 14.


Schilling (Diebold), né à Soleure, a laissé une histoire écrite en allemand de la guerre des Suisses contre Charles le Téméraire, duc de Bourgogne. Cet ouvrage est d’autant plus précieux que l’auteur s’étoit trouvé lui-même à presque toutes les batailles & actions de guerre qu’il décrit. Le manuscrit a été gardé jusqu’à ce jour au greffe de Berne, & imprimé pour la premiere fois dans cette ville en 1743, in-fol. (D. J.)​","[[""47 14' N 25 6' E""]]",,47 14' N 25 6' E,47 14' N 25 6' E
v15-1016-0,SOLIGNAC,"SOLIGNAC, (Géogr. mod.)​ petite ville ou plûtôt bourg de France dans le Velay, sur la gauche de la Loire, & à deux lieues au midi de Puy, capitale du Velay. Long. 21. 23. latit. 45. 26. (D. J.)​","[[""45 26' N 21 23' E""]]",,45 26' N 21 23' E,45 26' N 21 23' E
v15-1041-0,SOLOR,"SOLOR, (Géog. mod.)​ île de la mer des Indes, au midi de celles des Célebes. Les Hollandois l’enleverent aux Portugais en 1613. Ils en tirent du bois de Santal, & des vivres pour les Moluques. Cette île a un roi particulier. Elle est située à l’occident & à deux lieues de celle de Timor. Long. 140. latit. méridionale 8.",[['8 S 140 E']],,8 S 140 E,8 S 140 O
v15-1044-0,SOLSONA,"SOLSONA, (Géog. mod.)​ ville d’Espagne, dans la Catalogne, à deux lieues au nord de Cardona, près du Cardonero, sur une hauteur. Elle a un évêché suffragant de Tarragone, fondé par Philippe II. avec 4000 ducats de revenus. Les uns veulent que cette ville soit l’ancienne Ceressus, & d’autres l’ancienne Caléa. Long. 19. 14. latit. 41. 52. (D. J.)​","[[""41 52' N 19 14' E""]]",,41 52' N 19 14' E,41 52' N 19 14' E
v15-1049-0,SOLTWEDEL,"SOLTWEDEL, (Géog. mod.)​ c’est-à-dire la vallée du Soleil ; petite ville d’Allemagne, dans la vieille marche de Brandebourg, sur la riviere d’Ietze. On prétend que Charlemagne fit bâtir cette ville des ruines d’un ancien lieu qu’on appelloit Heliopolis, & qu’il fit abattre la statue du Soleil qu’on y adoroit. Long. 29. 22. latit. 53. 6. (D. J.)​","[[""53 6' N 29 22' E""]]",,53 6' N 29 22' E,53 6' N 29 22' E
v15-1153-1,Sora,"Sora, (Géog. mod.)​ petite ville d’Italie, dans la terre de Labour, au royaume de Naples, près de la​ riviere de Carigliano, à vingt lieues au sud-est d Rome. Elle a titre de duché, & un évêque qui n releve que du saint siege. Elle a été bâtie sur le ruines de l’ancienne Sora, qui fut saccagée & brûlée par l’empereur Frédéric II. sous le pontificat de Grégoire IX. Long. 31. 15. lat. 41. 46.


Baronius (César), savant cardinal, naquit à Sora, en 1538, & mourut à Rome, bibliothécaire du Vatican, en 1605, à 68 ans.


Il a donné les annales ecclésiastiques en latin, ouvrage qui contient en 12 tomes in fol. l’histoire ecclésiastique, depuis Jesus-Christ, jusqu’à l’an 1198. Baronius entreprit cet ouvrage à l’âge de 30 ans, pour réfuter les centuriateurs de Magdebourg. C’étoit une grande entreprise, & au-dessus des forces de l’auteur, d’autant plus que son manque de connoissance de la langue greque, devoit le détourner de ce travail. En s’y dévouant, il auroit dû se contenter de rapporter les faits de l’histoire ecclésiastique, sans entrer dans des controverses de parti, & dans les intérêts de la cour de Rome ; enfin son style n’est ni pur, ni le moins du monde agréable.


Le savant P. Pagi, de l’ordre de S. François, a fait une critique des annales de Baronius en 4 vol. in-fol. dont le premier parut en 1697, & les trois derniers en 1705. D’autres savans, Casaubon, le cardinal Norris, Richard de Montaigu, Blondel, & M. de Tillemont, ont publié leurs remarques critiques sur les annales de Baronius. Un libraire de Lucques en a donné une nouvelle édition, avec les corrections de ces savans au bas des pages. Le meilleur, sans doute, seroit de composer une nouvelle histoire de l’Eglise, exacte, complette, & exempte des défauts & des milliers de fautes qui se trouvent dans celle du cardinal napolitain.


Peu s’en fallut qu’il ne succédât à Clément VIII. mais le cardinal de Véronne s’expliqua si fortement pour lui donner l’exclusion, qu’il fit changer les suffrages : Monseigneur illustrissime, dit-il au cardinal Spinelli, qui soutenoit Baronius, « ce sujet n’est point propre à soutenir le fardeau du pontificat ; il n’est ni théologien, ni canoniste, ni versé dans les sciences ; c’est un écrivain piquant, & rapsodiste : tant s’en faut qu’il fût bon à gouverner l’église universelle, que je doute fort qu’il sçût gouverner une eglise particuliere ». Enfin l’Espagne lui donna l’exclusion pour la papauté, à cause de son livre de la Monarchie de Sicile, & la douleur qu’il en eut abrégea le cours de sa vie. (D. J.)​","[[""41 46' N 31 15' E""]]",,41 46' N 31 15' E,41 46' N 31 15' E
v15-1160-0,SORATOF ou SARATOF,"SORATOF ou SARATOF, (Géog. moderne.)​ ville de l’empire Russien, dans le royaume d’Astracan, sur un bras du Volga, au penchant d’une montagne, avec un fauxbourg qui s’étend le long de la riviere. Les maisons de cette ville, & même la plûpart des​ églises, sont de bois. Longitude 67. 15. latit. 52. 12.","[[""52 12' N 67 15' E""]]",,52 12' N 67 15' E,52 12' N 67 15' E
v15-1175-0,SORIA,"SORIA, (Géog. mod.) ville d'Espagne dans la vieille Castille, près de la source du Duero, bâtie en partie des ruines de l'ancienne Numance. Longit. 15. 34. latit. 41. 47. (D. J.)","[[""41 47' N 15 34' E""]]",,41 47' N 15 34' E,41 47' N 15 34' E
v15-1416-0,SOUTHAMPTON,"SOUTHAMPTON, (Géog. mod.)​ On devroit écrite South-Hanton ;  ville d’Angleterre dans l’Hantshire & sa capitale. Elle est située sur le rivage de la baie de son nom, entre les deux rivieres du Test & de l’Itching, mais plus près de la derniere, à 72 milles au sud-ouest de Londres.


On ne doute point qu’elle n’ait été bâtie des ruines d’une autre ville de même nom, sise un peu plus haut, aux bords de la même riviere, dans l’endroit où l’on voit les deux villages de Sainte-Marie, & de Bittern. Cette ancienne ville, presque ruinée par les Danois en 980, fut réduite en cendres par les François dans le xiv. siecle, pendant les démêlés d’Edouard III. avec Philippe de Valois pour la couronne de France.


Les habitans éleverent une nouvelle ville dans une situation plus commode, plus voisine de l’eau, & qui conserva le même nom. Avec le tems, cette nouvelle ville se peupla, s’agrandit, fut fermée de bonnes murailles, & devint florissante. Son port fut muni d’un château bâti de pierres de taille ; & comme elle étoit la capitale du comté, elle lui donna le nom de Southampton, vulgairement Hantshire.


Son havre est assez bon & revêtu d’un beau quai. Son commerce est cependant aujourd’hui moins considérable qu’autrefois ; mais cette ville ne laisse pas d’être encore grande & peuplée, car on y compte cinq paroisses. Elle est du nombre des villes qui se gouvernent par elles-mêmes, & qui ne relevent point du lieutenant de la province. Enfin elle a titre de duché, érigé par Charles II. en faveur de l’aîné des fils naturels qu’il a eus de la duchesse de Cleveland. Long. 16. 22. latit 50. 48.


Fuller (Nicolas) savant philologue, naquit à Southampton dans le xvj. siecle, & mourut en 1623. Ses miscellanea theologica & sacra sont remplis d’érudition.


Anne, comtesse de Winchelsea, dame d’esprit, & connue par ses vers, étoit née dans la province de Southampton, & mourut en 1720. On a publié à Londres en 1713 in-8°. un recueil de ses poésies, où se trouve son poëme sur la rate, & sa tragedie intitulée Aristomene, mais qui n’a jamais été représentée. (D. J.)​","[[""50 48' N 16 22' E""]]",,50 48' N 16 22' E,50 48' N 16 22' E
v15-1541-0,SPINARZA,"SPINARZA, (Géog. mod.)​ petite ville de la Turquie européenne dans l’Albanie, sur la riviere de même nom, près de son embouchure. Long. 37. 10. lat. 41.","[[""41 N 37 10' E""]]",,41 N 37 10' E,41 N 37 10' E
v15-1619-0,SQUILLACI,"SQUILLACI, (Géog. mod.)​ ville d’Italie, au royaume de Naples, dans la Calabre ultérieure, près du golfe de même nom, sur le torrent de Favelone, à 12 lieues de Cosenza, à 14 de Girace, avec titre de principauté, sous la métropole de Rhegio. Long. 34. 32. latit. 38. 52.


Quoique la fondation de cette ville, qu’on rapporte à Ulysse, soit fabuleuse, on sait néanmoins que la Calabre a été autrefois habitée par des grecs, & que même on appelloit ce pays-là, & tout ce qui est à l’extrémité de l’Italie, la grande Grece. Strabon veut que Squillaci fut une colonie des Athéniens, dont elle avoit conservé la politesse & les inclinations.


Quoi qu’il en soit, cette ville se glorifie d’avoir donné la naissance à Cassiodore (Magnus Aurelius) secrétaire d’état de Théodoric, roi des Goths, & l’un des plus grands ministres de son siecle dans l’art de gouverner. Il fut consul en 514, & eut beaucoup de crédit sous Athalaric & sous Vitiges. Il trouva le tems de composer divers ouvrages, dont la meilleure édition est celle du P. Garet, à Rouen, en 1679, in-fol. Il se retira du monde sur ses vieux jours, &​mourut dans le monastore qu’il fit bâtir à Squillaci, à l’âge d’environ quatre-vingt-treize ans, vers l’an 562 de J. C.


Nous lui devons une peinture riante de la situation de Squillaci sur la mer Adriatique, qu’on appelle aujourd’hui mer de Sicile de ce côté-là, & qui fait en cet endroit un golfe, qu’on nomme aujourd’hui golfe de Squillaci. « Cette ville, dit-il, s’éloigne du rivage en s’élevant doucement, environnée d’un côté de fertiles campagnes, & de l’autre baignée de la mer ; l’aurore du soleil est pour elle, & jamais nuage ni brouillard ne lui en dérobent la lumiere ; l’air en est pur, & les saisons y sont toujours tempérées. Son territoire offre des campagnes couvertes d’oliviers, des aires pleines de riches moissons, & des vignes qui promettent une abondante vendange. »


Cette description, qui a quelque chose d’étudié, marque du moins l’inclination naturelle que cet homme illustre avoit conservée pour sa patrie. Il en donna de bonnes preuves par les travaux qu’il entreprit pour l’utilité de cette ville, lorsqu’il étoit gouverneur de l’Abruzze & de la Lucanie, qu’on comprend aujourd’hui sous le nom de Calabre. Il fit creuser de vastes réservoirs dans la concavité d’un rocher, pour y attirer des poissons de toute espece, & c’est dans ce même lieu qu’il bâtit depuis son monastere.


« La situation de ce monastere, écrivit-il à ses moines, nous invite à préparer toutes sortes de soulagemens pour les étrangers, & pour les pauvres du pays. Vous avez des jardins arrosés de plusieurs canaux, & le voisinage du fleuve Pellène, qui est fort poissonneux, & qui a cela de commode, que vous ne devez pas craindre d’inondation de l’abondance de ses eaux, quoiqu’il en ait assez pour n’être pas à mépriser. On le trouve à propos lorsqu’on en a besoin, & dès qu’il a rendu le service qu’on en attendoit, on le voit se retirer. Il est, pour ainsi dire, dévoué à tous les ministeres de votre maison, prêt à rafraîchir vos prairies, à arroser vos jardins, & à faire tourner vos moulins. Vous avez aussi la mer au bas du monastere, & vous pouvez y pêcher commodément. Vous avez encore de grands réservoirs où le poisson se rend de lui-même. Je les ai fait creuser dans la concavité de la montagne, de sorte que le poisson qu’on y met, ayant la liberté de s’y promener, de s’y nourrir, & de se cacher dans le creux des rochers, comme auparavant, ne sent point qu’il est captif, &c. » Pline le jeune n’a pas jetté plus de fleurs que Cassiodore dans les peintures agréables de ses maisons de plaisance. (Le Chevalier de Jaucourt.)​","[[""38 52' N 34 32' E""]]",,38 52' N 34 32' E,38 52' N 34 32' E
v15-1647-0,STAFFORD,"STAFFORD, (Géog. mod.)​ ville d’Angleterre, capitale du comté de même nom, sur la Saw, dans une agréable campagne ; elle est bien bâtie, a deux paroisses, une école publique, & un château pour sa défense. Long. suivant Harris, 15. 30. latit. 52. 54. (D. J.)​","[[""52 54' N 15 30' E""]]",,52 54' N 15 30' E,52 54' N 15 30' O
v15-1751-0,STENDAL ou STENDEL,"STENDAL ou STENDEL, (Géog. mod.)​ petite ville d’Allemagne, dans la vieille Marche de Brandebourg, sur la petite riviere d’Ucht, environ à cinq milles au nord-ouest de Tangermund, & à 4 sud est d’Arneberg. Les guerres d’Allemagne l’ont presqu’entierement ruinée. Long. 29. 47. latit. 52. 28. (D. J.)​","[[""52 28' N 29 47' E""]]",,52 28' N 29 47' E,52 28' N 29 47' E
v15-1752-0,"STENFORD ou BORCH STENFORDE, & quelquefois Steinfurt","STENFORD ou BORCH STENFORDE, (Géog. mod.)​ & quelquefois Steinfurt, petite ville d’Allemagne, dans le cercle de Westphalie, capitale d’un comté de même nom, sur le Wecht, à 6 lieues au nord-ouest de Munster, avec une académie. Long. 25. 41. latit. 52. 24.","[[""52 24' N 25 41' E""]]",,52 24' N 25 41' E,52 24' N 25 41' E
v15-1937-0,STRONGOLI,"STRONGOLI, (Géog. mod.)​ petite ville d’Italie, au royaume de Naples, dans la Calabre citérieure, sur une haute montagne, à 9 milles au nord-est de Santa-Severina, dont son évêché est suffragant. Long. 32. 25. lat. 40. 41.","[[""40 41' N 32 25' E""]]",,40 41' N 32 25' E,40 41' N 32 25' E
v15-1972-0,STUTGARD,"STUTGARD, (Géog. mod.)​ ville d’Allemagne, au cercle de Suabe, capitale du duché de Wirtemberg, dans une plaine proche le Necker, à 6 lieues de Tubinge, à 12 à l’est de Bade ; c’est la résidence des ducs qui y ont leur palais. Elle a trois fauxbourgs, trois temples & cinq portes. Longit. 26. 42. latit. 48. 39.


Borthaus (Martin) naquit dans cette ville en 1499. Il voulut établir en Allemagne l’anabatisme, & n’ayant pas réussi, il revint à sa premiere religion, enseigna la rhétorique & la théologie, mit au jour des commentaires sur plusieurs livres du vieux Testament, fut nommé professeur à Basle, & y mourut de la peste l’an 1564.


Jæger (Jean-Wolfgang), théologien luthérien, naquit à Stutgard en 1647, & mourut chancelier de Tubinge en 1720 à 73 ans. Il a mis au jour en latin un grand nombre d’ouvrages théologiques, qu’on ne recherche plus aujourd’hui. Ses observations sur Grotius & Pufendorf ne montrent pas un homme versé dans le droit de la guerre & de la paix. (D. J.)​","[[""48 39' N 26 42' E""]]",,48 39' N 26 42' E,48 39' N 26 42' E
v15-2003-0,SUAQUEN ou SUAQUIN,"SUAQUEN ou SUAQUIN, (Géogr. mod.)​ île d’Afrique, sur la côte occidentale de la mer Rouge, à peu d’éloignement de Babelmandel. Elle a environ 15 lieues de tour, qui renferment une petite ville de son nom. Son port est un des meilleurs de la mer Rouge, & il étoit fort commerçant avant que Moka lui eût enlevé son trafic. Les habitans de cette île sont turcs & arabes. Longitude 55. 16. latit. 18. 45. (D. J.)​","[[""18 45' N 55 16' E""]]",,18 45' N 55 16' E,18 45' N 55 16' E
v15-2117-0,SUDBURY,"SUDBURY, (Géogr. mod.) ville d'Angleterre, dans Suffolck-shire, aux confins de la province d'Essex ; à 30 milles d'Ipswich, & sur la Stoure. C'est une ville riche, bien peuplée, & qui contient trois paroisses. Elle a droit de marché, députe au parlement, & fabrique beaucoup de draps. Ceux qui la nomment en latin Colonia, se trompent beaucoup. La Colonia d'Antonin est Colchester ; du-moins, c'est l'opinion de Cambden ; & celle qui paroît la plus vraissemblable, quoique M. Gale pense autrement. Long. de Sudbury, 18. 20. lat. 52. 15. (D. J.)","[[""52 15' N 18 20' E""]]",,52 15' N 18 20' E,52 15' N 18 20' E
v15-2376-0,SURSÉE,"SURSÉE, (Géog. mod.)​ petite ville de Suisse, au canton de Lucerne, & à deux lieues au midi de Lucerne, à l’issue du lac que forme la Sur, près de l’endroit d’où elle sort. Cette petite ville est bien bâtie, & ornée de plusieurs fontaines. Elle a son avoyer, une police, un conseil, & point de bailli. Long. 25. 48. lat. 47. 3. (D. J.)​","[[""47 3' N 25 48' E""]]",,47 3' N 25 48' E,47 3' N 25 48' E
v15-2771-0,TAILLEBOURG,"TAILLEBOURG, (Géog. mod.)​ en latin du moyen âge Talleburgus & Talcaburgus, autrefois petite ville, maintenant bourg de France, dans la Saintonge, sur la Charente, élection de Saint-Jean d’Angely, à trois lieues de Saintes. Long. 37. 5. latit. 45. 41. (D. J.)​","[[""45 41' N 37 5' E""]]",,45 41' N 37 5' E,45 41' N 37 5' E
v15-2931-1,Tangut,"Tangut, (Géog. mod.)​ ville du Turquestan, que les Arabes appellent Tanghikunt ; elle est fort proche de la ville d’Illock, au-delà des fleuves Gihon & Sihon. Long. selon Abulfeda, 91. lat. septent. 43.",[['43 N 91 E']],,43 N 91 E,43 N 91 E
v15-303-0,SESTAKOF ou SESTANOS,"SESTAKOF ou SESTANOS, (Géogr. mod.)​ ville de l’empire Russien, dans la province de Viarka, sur​ la rive droite de la Viarka. Long. 69. latit. 58. 30. (D. J.)​","[[""58 30' N 69 E""]]",,58 30' N 69 E,58 30' N 69 E
v15-3050-0,TARGA,"TARGA, (Géog. mod.)​ petite ville d’Afrique, au royaume de Fez, sur la côte de la Méditerranée, dans une plaine, à sept lieues de Tétuan, avec un château bâti sur un rocher. La pêche y est très-abondante, mais les environs de la ville n’offrent que des forêts remplies de singes, & des montagnes escarpées. Marmol prétend que Targa est le Taga de Ptolomée, à 8. 20. de longitude & à 35. 6. de latitude. (D. J.)​","[[""35 6' N 8 20' E""]]",,35 6' N 8 20' E,35 6' N 8 20' E
v15-3117-0,TARUDANT,"TARUDANT, (Géog. mod.)​ ville d’Afrique, au royaume de Maroc, capitale de la province de Sus, dont elle porte aussi le nom. Elle est à deux lieues au midi du grand Atlas, & passe encore pour une des​bonnes villes d’Afrique par son commerce. Long. 9. 52. latit. 29. 18. (D. J.)​","[[""29 18' N 9 52' E""]]",,29 18' N 9 52' E,29 18' N 9 52' O
v15-3159-0,TAVASTUS,"TAVASTUS, (Géogr. mod.)​ ville de Suede, dans la Finlande, capitale de la province de Tavastland, dans sa partie méridionale, sur une petite riviere qui se jette un peu au-dessus, dans le lac de Wana. Long. 42. 29. latit. 61. 15. (D. J.)​","[[""61 15' N 42 29' E""]]",,61 15' N 42 29' E,61 15' N 42 29' E
v15-3184-0,TAUNTON,"TAUNTON, (Géog. mod.)​ ville d’Angleterre en Sommersetshire, sur la rive droite du Taw, dans une agréable situation. Elle députe au parlement, & a droit de marché. Ses environs offrent de charmantes prairies, de beaux jardins, & un grand nombre de jolies maisons de campagne. Long. 14. 18. latit. 51. 22. (D. J.)​","[[""51 22' N 14 18' E""]]",,51 22' N 14 18' E,51 22' N 14 18' E
v15-3187-0,TAUORMINA ou TAORMINA,"TAUORMINA ou TAORMINA, (Géog. mod.)​ anciennement Tauromenium, ville de Sicile, dans le val Demona, sur la côte orientale de l’île, entre le golphe de Saint-Nicolas au nord, & Castel-Schiso au midi. Elle a eu le titre de colonie, & l’on y voyoit encore dans le seizieme siecle, quelques ruines d’un temple d’Apollon, où les habitans alloient consulter son oracle, lorsqu’ils entreprenoient de voyager hors​ de l’île. Long. 33. 12. latit. 37. 49. (D. J.)​","[[""37 49' N 33 12' E""]]",,37 49' N 33 12' E,37 49' N 33 12' E
v15-3270-0,TCHITCHECLIC,"TCHITCHECLIC, (Géog. mod.)​ ville du Mogolistan, long. selon M. Petit de la Croix, 117. 30. lat. 50. (D. J.)​","[[""50 N 117 30' E""]]",,50 N 117 30' E,50 N 117 30' E
v15-331-0,"SETTE, ou SETE","SETTE, ou SETE, (Géog. mod.)​ cap de France dans le bas Languedoc, sur la côte de la mer, au midi du lac de Maguelone & de la bourgade de Frontignan. Louis XIV. y fit construire un port qui est pour les galeres & les petits bâtimens. C’est-là que commence le canal de Languedoc, qui va se terminer dans la Garonne à Toulouse. Long. suivant Cassini, prise au fanal de cette ville, 21. 13. latit. 43. 24. 40. (D. J.)​","[['43 24\' 40"" N 21 13\' E']]",,"43 24' 40"" N 21 13' E","43 24' 40"" N 21 13' E"
